像素1校正斜率,0,像素1校正常量,0,状态1,1
像素2校正斜率,0,像素2校正常量,0,状态2,1
像素3校正斜率,0,像素3校正常量,0,状态3,1
像素4校正斜率,0,像素4校正常量,0,状态4,1
像素5校正斜率,0,像素5校正常量,0,状态5,1
像素6校正斜率,0,像素6校正常量,0,状态6,1
像素7校正斜率,0,像素7校正常量,0,状态7,1
像素8校正斜率,0,像素8校正常量,0,状态8,1
像素9校正斜率,0,像素9校正常量,0,状态9,1
像素10校正斜率,0,像素10校正常量,0,状态10,1
像素11校正斜率,0,像素11校正常量,0,状态11,1
像素12校正斜率,0,像素12校正常量,0,状态12,1
像素13校正斜率,0,像素13校正常量,0,状态13,1
像素14校正斜率,0,像素14校正常量,0,状态14,1
像素15校正斜率,0,像素15校正常量,0,状态15,1
像素16校正斜率,0,像素16校正常量,0,状态16,1
像素17校正斜率,0,像素17校正常量,0,状态17,1
像素18校正斜率,0,像素18校正常量,0,状态18,1
像素19校正斜率,0,像素19校正常量,0,状态19,1
像素20校正斜率,0,像素20校正常量,0,状态20,1
像素21校正斜率,0,像素21校正常量,0,状态21,1
像素22校正斜率,0,像素22校正常量,0,状态22,1
像素23校正斜率,0,像素23校正常量,0,状态23,1
像素24校正斜率,0,像素24校正常量,0,状态24,1
像素25校正斜率,0,像素25校正常量,0,状态25,1
像素26校正斜率,0,像素26校正常量,0,状态26,1
像素27校正斜率,0,像素27校正常量,0,状态27,1
像素28校正斜率,0,像素28校正常量,0,状态28,1
像素29校正斜率,0,像素29校正常量,0,状态29,1
像素30校正斜率,0,像素30校正常量,0,状态30,1
像素31校正斜率,0,像素31校正常量,0,状态31,1
像素32校正斜率,0,像素32校正常量,0,状态32,1
像素33校正斜率,0,像素33校正常量,0,状态33,1
像素34校正斜率,0,像素34校正常量,0,状态34,1
像素35校正斜率,0,像素35校正常量,0,状态35,1
像素36校正斜率,0,像素36校正常量,0,状态36,1
